Price-RangeQ32018,Number of Records,Q3 2018 Price
"Less than $150,000",1,"$142,792"
"$150,000-$350,000",1,"$210,870"
"Less than $150,000",1,"$94,248"
"Less than $150,000",1,"$112,903"
"Less than $150,000",1,"$130,775"
"Less than $150,000",1,"$70,501"
"Less than $150,000",1,"$93,720"
"Less than $150,000",1,"$127,890"
"Less than $150,000",1,"$91,187"
"Less than $150,000",1,"$122,743"
"Less than $150,000",1,"$105,519"
"Less than $150,000",1,"$72,823"
"Less than $150,000",1,"$98,680"
"Less than $150,000",1,"$94,248"
"Less than $150,000",1,"$117,994"
"$150,000-$350,000",1,"$155,989"
"Less than $150,000",1,"$111,579"
"Less than $150,000",1,"$80,316"
"Less than $150,000",1,"$92,137"
"Less than $150,000",1,"$101,530"
"Less than $150,000",1,"$81,055"
"Less than $150,000",1,"$130,553"
"Less than $150,000",1,"$113,984"
"Less than $150,000",1,"$85,277"
"Less than $150,000",1,"$120,844"
"$150,000-$350,000",1,"$158,269"
"Less than $150,000",1,"$99,736"
"Less than $150,000",1,"$120,944"
"Less than $150,000",1,"$87,810"
"Less than $150,000",1,"$92,453"
"Less than $150,000",1,"$93,599"
"Less than $150,000",1,"$71,073"
"Less than $150,000",1,"$93,224"
"Less than $150,000",1,"$120,037"
"Less than $150,000",1,"$147,968"
"Less than $150,000",1,"$110,817"
"$150,000-$350,000",1,"$171,442"
"Less than $150,000",1,"$75,461"
"Less than $150,000",1,"$148,909"
"Less than $150,000",1,"$101,239"
"$150,000-$350,000",1,"$171,163"
"$150,000-$350,000",1,"$168,090"
"Less than $150,000",1,"$62,908"
"Less than $150,000",1,"$81,372"
"$150,000-$350,000",1,"$193,436"
"Less than $150,000",1,"$92,981"
"Less than $150,000",1,"$92,031"
"Less than $150,000",1,"$128,337"
"Less than $150,000",1,"$140,453"
"Less than $150,000",1,"$92,876"
"Less than $150,000",1,"$128,013"
"Less than $150,000",1,"$146,678"
"Less than $150,000",1,"$72,928"
"Less than $150,000",1,"$96,886"
"Less than $150,000",1,"$115,250"
"Less than $150,000",1,"$89,920"
"Less than $150,000",1,"$119,847"
"$150,000-$350,000",1,"$155,496"
"$150,000-$350,000",1,"$221,847"
"Less than $150,000",1,"$73,351"
"Less than $150,000",1,"$108,918"
"Less than $150,000",1,"$112,928"
"$150,000-$350,000",1,"$175,740"
"Less than $150,000",1,"$111,405"
"Less than $150,000",1,"$88,548"
"Less than $150,000",1,"$86,121"
"Less than $150,000",1,"$87,493"
"Less than $150,000",1,"$129,491"
"$150,000-$350,000",1,"$247,974"
"$150,000-$350,000",1,"$321,206"
"$150,000-$350,000",1,"$158,463"
"$150,000-$350,000",1,"$193,873"
"$150,000-$350,000",1,"$232,813"
"$150,000-$350,000",1,"$196,780"
"$150,000-$350,000",1,"$243,867"
"$150,000-$350,000",1,"$252,439"
"$350,000-$550,000",1,"$356,281"
"$150,000-$350,000",1,"$243,613"
"$150,000-$350,000",1,"$275,908"
"$150,000-$350,000",1,"$277,984"
"Less than $150,000",1,"$123,053"
"$150,000-$350,000",1,"$254,958"
"Less than $150,000",1,"$148,494"
"$150,000-$350,000",1,"$159,813"
"$150,000-$350,000",1,"$151,401"
"$350,000-$550,000",1,"$364,381"
"$150,000-$350,000",1,"$199,065"
"$150,000-$350,000",1,"$261,889"
"$150,000-$350,000",1,"$192,107"
"Less than $150,000",1,"$83,696"
"Less than $150,000",1,"$51,798"
"$150,000-$350,000",1,"$163,155"
"$150,000-$350,000",1,"$297,468"
"$150,000-$350,000",1,"$161,057"
"Less than $150,000",1,"$129,496"
"Less than $150,000",1,"$91,748"
"Less than $150,000",1,"$81,158"
"$150,000-$350,000",1,"$285,478"
"$150,000-$350,000",1,"$179,857"
"Less than $150,000",1,"$145,644"
"$150,000-$350,000",1,"$198,125"
"$150,000-$350,000",1,"$200,224"
"Less than $150,000",1,"$145,120"
"$150,000-$350,000",1,"$292,818"
"Less than $150,000",1,"$140,704"
"Less than $150,000",1,"$83,686"
"Less than $150,000",1,"$71,076"
"Less than $150,000",1,"$129,646"
"$150,000-$350,000",1,"$193,647"
"Less than $150,000",1,"$121,517"
"Less than $150,000",1,"$77,433"
"Less than $150,000",1,"$73,994"
"Less than $150,000",1,"$126,206"
"Less than $150,000",1,"$65,657"
"Less than $150,000",1,"$99,006"
"Less than $150,000",1,"$72,952"
"Less than $150,000",1,"$132,355"
"Less than $150,000",1,"$90,337"
"Less than $150,000",1,"$79,413"
"Less than $150,000",1,"$102,862"
"Less than $150,000",1,"$141,778"
"Less than $150,000",1,"$120,355"
"Less than $150,000",1,"$114,774"
"Less than $150,000",1,"$82,748"
"Less than $150,000",1,"$67,220"
"Less than $150,000",1,"$59,091"
"Less than $150,000",1,"$97,130"
"$150,000-$350,000",1,"$167,462"
"Less than $150,000",1,"$96,926"
"Less than $150,000",1,"$95,150"
"Less than $150,000",1,"$147,608"
"Less than $150,000",1,"$125,191"
"Less than $150,000",1,"$115,055"
"Less than $150,000",1,"$79,413"
"Less than $150,000",1,"$92,649"
"Less than $150,000",1,"$98,068"
"Less than $150,000",1,"$108,802"
"Less than $150,000",1,"$82,748"
"Less than $150,000",1,"$63,885"
"Less than $150,000",1,"$88,887"
"Less than $150,000",1,"$99,423"
"Less than $150,000",1,"$68,679"
"Less than $150,000",1,"$80,351"
"Less than $150,000",1,"$69,929"
"Less than $150,000",1,"$68,478"
"Less than $150,000",1,"$75,453"
"Less than $150,000",1,"$94,212"
"Less than $150,000",1,"$145,262"
"Less than $150,000",1,"$116,403"
"Less than $150,000",1,"$122,246"
"Less than $150,000",1,"$114,110"
"Less than $150,000",1,"$84,832"
"Less than $150,000",1,"$56,798"
"Less than $150,000",1,"$100,986"
"Less than $150,000",1,"$65,344"
"Less than $150,000",1,"$95,462"
"Less than $150,000",1,"$70,763"
"Less than $150,000",1,"$100,457"
"Less than $150,000",1,"$69,929"
"Less than $150,000",1,"$81,914"
"Less than $150,000",1,"$80,633"
"Less than $150,000",1,"$90,773"
"Less than $150,000",1,"$131,417"
"Less than $150,000",1,"$68,054"
"$150,000-$350,000",1,"$158,440"
"Less than $150,000",1,"$84,937"
"Less than $150,000",1,"$64,510"
"$150,000-$350,000",1,"$156,210"
"Less than $150,000",1,"$72,743"
"Less than $150,000",1,"$93,482"
"Less than $150,000",1,"$133,407"
"Less than $150,000",1,"$78,579"
"Less than $150,000",1,"$83,269"
"Less than $150,000",1,"$111,825"
"Less than $150,000",1,"$83,269"
"Less than $150,000",1,"$103,070"
"$150,000-$350,000",1,"$184,743"
"Less than $150,000",1,"$123,393"
"Less than $150,000",1,"$66,386"
"Less than $150,000",1,"$104,529"
"$750,000-$1,000,000",1,"$899,885"
"$350,000-$550,000",1,"$367,098"
"$150,000-$350,000",1,"$297,479"
"$150,000-$350,000",1,"$290,347"
"$150,000-$350,000",1,"$291,927"
"$150,000-$350,000",1,"$238,752"
"$550,000-$750,000",1,"$740,072"
"$150,000-$350,000",1,"$198,498"
"$350,000-$550,000",1,"$518,090"
"$150,000-$350,000",1,"$270,043"
"$150,000-$350,000",1,"$229,142"
"$150,000-$350,000",1,"$347,237"
"$150,000-$350,000",1,"$214,933"
"$150,000-$350,000",1,"$259,574"
"$150,000-$350,000",1,"$219,620"
"$150,000-$350,000",1,"$238,412"
"$150,000-$350,000",1,"$224,765"
"$150,000-$350,000",1,"$189,528"
"$550,000-$750,000",1,"$647,932"
"$150,000-$350,000",1,"$268,724"
"$1,000,000 and more",1,"$1,168,353"
"$150,000-$350,000",1,"$277,085"
"$350,000-$550,000",1,"$437,677"
"$150,000-$350,000",1,"$284,742"
"$150,000-$350,000",1,"$152,797"
"$150,000-$350,000",1,"$332,822"
"$550,000-$750,000",1,"$569,751"
"$550,000-$750,000",1,"$677,850"
"$350,000-$550,000",1,"$466,827"
"$550,000-$750,000",1,"$747,758"
"$350,000-$550,000",1,"$514,029"
"$150,000-$350,000",1,"$244,411"
"$350,000-$550,000",1,"$388,215"
"$350,000-$550,000",1,"$387,826"
"$350,000-$550,000",1,"$526,295"
"$350,000-$550,000",1,"$359,487"
"$550,000-$750,000",1,"$611,062"
"$1,000,000 and more",1,"$1,272,168"
"$350,000-$550,000",1,"$390,423"
"$550,000-$750,000",1,"$619,565"
"$1,000,000 and more",1,"$1,252,580"
"$550,000-$750,000",1,"$606,728"
"$1,000,000 and more",1,"$1,112,008"
"$750,000-$1,000,000",1,"$844,402"
"$150,000-$350,000",1,"$266,014"
"$150,000-$350,000",1,"$167,746"
"$150,000-$350,000",1,"$188,567"
"$350,000-$550,000",1,"$458,583"
"$550,000-$750,000",1,"$694,882"
"$150,000-$350,000",1,"$322,712"
"$150,000-$350,000",1,"$307,563"
"$150,000-$350,000",1,"$204,370"
"$150,000-$350,000",1,"$305,915"
"$150,000-$350,000",1,"$222,337"
"$150,000-$350,000",1,"$292,034"
"$550,000-$750,000",1,"$623,647"
"$350,000-$550,000",1,"$472,327"
