State,COUNTY,Value,RANK,1901-2000,ANOMALY
AL,Autauga ,66.0,119,64.0,2.0
AL,Baldwin ,68.7,118,66.8,1.9
AL,Barbour ,66.8,120,64.8,2.0
AL,Bibb ,64.4,115,62.7,1.7
AL,Blount ,63.2,121,60.6,2.6
AL,Bullock ,66.3,120,64.2,2.1
AL,Butler ,66.8,121,64.6,2.2
AL,Calhoun ,63.4,119,61.0,2.4
AL,Chambers ,63.8,120,61.6,2.2
AL,Cherokee ,62.7,119,60.6,2.1
AL,Chilton ,64.4,116,62.8,1.6
AL,Choctaw ,66.4,118,64.5,1.9
AL,Clarke ,66.9,120,64.8,2.1
AL,Clay ,62.9,119,60.7,2.2
AL,Cleburne ,62.6,122,60.0,2.6
AL,Coffee ,67.5,121,65.4,2.1
AL,Colbert ,62.0,117,59.9,2.1
AL,Conecuh ,67.9,122,65.4,2.5
AL,Coosa ,64.1,118,62.2,1.9
AL,Covington ,67.7,122,65.6,2.1
AL,Crenshaw ,66.4,118,64.5,1.9
AL,Cullman ,62.7,119,60.4,2.3
AL,Dale ,67.8,122,65.7,2.1
AL,Dallas ,66.3,120,64.3,2.0
AL,DeKalb ,61.1,117,59.3,1.8
AL,Elmore ,65.8,119,63.7,2.1
AL,Escambia ,68.3,123,66.0,2.3
AL,Etowah ,63.2,119,60.9,2.3
AL,Fayette ,63.6,113,62.0,1.6
AL,Franklin ,61.8,117,59.9,1.9
AL,Geneva ,68.5,122,66.1,2.4
AL,Greene ,65.2,111,63.9,1.3
AL,Hale ,65.2,112,63.8,1.4
AL,Henry ,67.8,121,65.7,2.1
AL,Houston ,68.8,122,66.5,2.3
AL,Jackson ,61.1,117,59.4,1.7
AL,Jefferson ,64.2,120,61.8,2.4
AL,Lamar ,63.5,106,62.1,1.4
AL,Lauderdale ,61.6,118,59.5,2.1
AL,Lawrence ,61.5,112,60.1,1.4
AL,Lee ,65.2,121,63.0,2.2
AL,Limestone ,62.0,118,59.9,2.1
AL,Lowndes ,67.0,121,64.6,2.4
AL,Macon ,66.1,120,64.0,2.1
AL,Madison ,61.9,118,59.9,2.0
AL,Marengo ,66.0,116,64.3,1.7
AL,Marion ,62.2,110,60.7,1.5
AL,Marshall ,62.4,118,60.3,2.1
AL,Mobile ,68.7,121,66.4,2.3
AL,Monroe ,67.8,123,65.1,2.7
AL,Montgomery ,66.8,120,64.4,2.4
AL,Morgan ,62.3,118,60.2,2.1
AL,Perry ,65.2,116,63.5,1.7
AL,Pickens ,64.6,112,63.1,1.5
AL,Pike ,66.4,118,64.6,1.8
AL,Randolph ,63.0,121,60.5,2.5
AL,Russell ,66.3,122,64.2,2.1
AL,Shelby ,64.2,118,62.1,2.1
AL,St. Clair ,63.6,119,61.2,2.4
AL,Sumter ,65.7,117,64.1,1.6
AL,Talladega ,64.0,119,61.8,2.2
AL,Tallapoosa ,64.1,119,62.2,1.9
AL,Tuscaloosa ,64.7,116,63.1,1.6
AL,Walker ,63.5,117,61.7,1.8
AL,Washington ,67.1,117,65.3,1.8
AL,Wilcox ,66.8,121,64.7,2.1
AL,Winston ,61.7,114,60.3,1.4
AK,Aleutians East ,42.0,94,36.6,5.4
AK,Aleutians West Census Area,41.5,94,37.9,3.6
AK,Anchorage Municipality,36.4,93,31.5,4.9
AK,Bethel Census Area,36.9,93,29.1,7.8
AK,Bristol Bay ,41.4,93,34.2,7.2
AK,Denali ,31.8,94,25.2,6.6
AK,Dillingham Census Area,39.6,93,31.8,7.8
AK,Fairbanks North Star ,32.4,93,26.5,5.9
AK,Haines ,35.9,90,33.2,2.7
AK,Hoonah-Angoon Census Area,38.9,91,36.2,2.7
AK,Juneau City and ,36.0,91,33.4,2.6
AK,Kenai Peninsula ,38.0,93,32.2,5.8
AK,Ketchikan Gateway ,41.8,84,39.8,2.0
AK,Kodiak Island ,42.3,93,36.6,5.7
AK,Kusilvak Census Area,35.8,93,28.1,7.7
AK,Lake and Peninsula ,40.6,93,33.9,6.7
AK,Matanuska-Susitna ,33.6,93,27.9,5.7
AK,Nome Census Area,31.7,94,23.6,8.1
AK,North Slope ,21.3,94,13.3,8.0
AK,Northwest Arctic ,29.6,94,20.6,9.0
AK,Petersburg ,38.0,88,35.8,2.2
AK,Prince of Wales-Hyder Census Area,44.5,87,42.4,2.1
AK,Sitka City and ,42.3,91,39.5,2.8
AK,Skagway Municipality,33.1,91,30.0,3.1
AK,Southeast Fairbanks Census Area,29.3,93,23.8,5.5
AK,Valdez-Cordova Census Area,31.2,93,26.1,5.1
AK,Wrangell City and ,41.4,87,39.4,2.0
AK,Yakutat City and ,36.4,93,32.0,4.4
AK,Yukon-Koyukuk Census Area,30.9,94,23.8,7.1
AZ,Apache ,50.2,74,49.7,0.5
AZ,Cochise ,60.8,76,60.4,0.4
AZ,Coconino ,52.5,85,51.8,0.7
AZ,Gila ,59.7,99,58.6,1.1
AZ,Graham ,60.9,84,60.3,0.6
AZ,Greenlee ,56.5,89,55.8,0.7
AZ,La Paz ,71.2,92,70.3,0.9
AZ,Maricopa ,70.3,94,69.2,1.1
AZ,Mohave ,61.9,81,61.4,0.5
AZ,Navajo ,51.8,78,51.2,0.6
AZ,Pima ,67.3,84,66.6,0.7
AZ,Pinal ,68.4,88,67.7,0.7
AZ,Santa Cruz ,60.3,71,59.9,0.4
AZ,Yavapai ,59.2,92,58.3,0.9
