county_name,crime_rate_per_100000,IDNO,CPOPARST,CPOPCRIM,AG_ARRST,AG_OFF,COVIND,INDEX,MODINDX,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population,FIPS_ST,FIPS_CTY,State
St. Louis city,1791.995377,1612,318667,318667,15,15,100.0,5706,22329,119,200,1778,3609,4995,13791,3543,464,318416,29,510,MO
Crittenden ,1754.914968,130,50717,50717,4,4,100.0,873,3424,8,38,165,662,1482,1753,189,28,49746,5,35,AR
Alexander ,1664.700485,604,8040,8040,2,2,100.0,127,278,1,2,5,119,82,184,12,2,7629,17,3,IL
Kenedy ,1456.31068,2681,444,444,1,1,100.0,6,13,0,3,1,2,5,4,4,0,412,48,261,TX
De Soto ,1447.40243,1137,26971,26971,3,3,100.0,392,703,3,4,17,368,149,494,60,0,27083,22,31,LA
Baltimore city,1419.5375689999998,1227,625474,625474,9,9,100.0,8831,29868,216,317,3638,4660,7804,18055,4009,251,622104,24,510,MD
Shelby ,1315.0037519999998,2534,942807,942807,15,14,100.0,12354,47864,135,483,3512,8224,14011,30620,3233,435,939465,47,157,TN
Marlboro ,1253.437132,2377,28780,28780,9,8,100.0,351,1549,3,20,32,296,408,1074,67,5,28003,45,69,SC
Storey ,1217.656012,1778,3947,3947,1,1,100.0,48,86,0,7,2,39,23,55,8,2,3942,32,29,NV
District of Columbia,1216.801325,325,632323,632323,2,1,100.0,7866,30757,88,236,4037,3505,3519,23575,3663,51,646449,11,1,DC
Dillon ,1165.583272,2359,32060,32060,9,8,100.0,364,1906,8,17,48,291,595,1206,105,12,31229,45,33,SC
Scott ,1163.145839,1597,40941,40941,7,8,100.0,457,1277,2,7,26,422,236,1002,39,8,39290,29,201,MO
Philadelphia ,1150.2963300000001,2320,1538957,1538957,6,5,100.0,17866,57000,332,881,7984,8669,12004,38595,6401,0,1553165,42,101,PA
Pershing ,1148.756725,1777,6822,6822,2,2,100.0,79,75,0,3,1,75,27,43,5,0,6877,32,27,NV
Greenwood ,1140.226324,2366,71009,70499,10,8,100.0,795,3651,7,39,73,676,965,2564,122,12,69723,45,47,SC
Madison ,1138.4238300000002,2512,98988,99067,4,5,100.0,1124,4084,13,33,196,882,1300,2604,180,27,98733,47,113,TN
Davidson ,1129.513728,2474,635244,635244,10,10,100.0,7439,27666,65,312,1753,5309,5875,20373,1418,100,658602,47,37,TN
Marion ,1083.5081189999999,753,911521,867596,11,9,100.0,10058,49004,102,453,3486,6017,15125,29122,4757,414,928281,18,97,IN
Wayne ,1065.188284,1324,1800769,1793982,47,47,99.6046,18910,69839,433,803,5879,11795,19882,34706,15251,766,1775273,26,163,MI
Jackson ,1026.623686,1545,839561,837636,19,23,100.0,6981,40642,116,358,1913,4594,9695,25994,4953,318,679996,29,95,MO
Northwest Arctic ,1014.964216,85,3334,3334,1,1,100.0,78,210,0,23,12,43,46,126,38,2,7685,2,188,AK
Pemiscot ,998.7095326,1575,18208,18208,7,7,100.0,178,678,0,6,21,151,192,463,23,2,17823,29,155,MO
Iberville ,974.0162436,1145,33427,31544,4,3,100.0,325,1220,5,9,26,285,266,928,26,0,33367,22,47,LA
Pulaski ,959.9165822999998,172,387762,387762,11,11,100.0,3756,26881,61,179,1058,2458,7065,18011,1805,130,391284,5,119,AR
Jefferson ,959.1343197999998,147,76535,76535,5,5,100.0,702,3960,14,42,139,507,1400,2306,255,44,73191,5,69,AR
Miller ,956.1771347000001,158,43925,43925,2,2,100.0,415,2215,1,9,45,360,488,1597,130,6,43402,5,91,AR
Muskogee ,954.4400666000001,2205,71462,71440,6,6,100.0,671,2344,3,34,41,593,878,1324,142,23,70303,40,101,OK
Barnwell ,953.9310095000001,2348,22571,22571,9,7,100.0,211,1114,5,4,33,169,349,691,74,10,22119,45,11,SC
Tangipahoa ,952.8593755,1174,123296,123296,8,7,96.5846,1195,7162,11,64,185,935,2683,4262,218,1,125412,22,105,LA
Marion ,941.6313295,2376,33158,33158,9,7,100.0,302,1923,8,12,51,231,771,1060,92,12,32072,45,67,SC
Dillingham Census Area,938.1237525,74,3268,2419,2,1,100.0,47,74,0,18,1,28,12,55,7,0,5010,2,70,AK
Dougherty ,930.4176661,440,95799,95799,10,6,100.0,865,5710,4,32,240,589,1600,3844,266,13,92969,13,95,GA
