Autauga,,660,90%,-0.19,AL
Baldwin,,"2,207",86%,0.49,AL
Barbour,,312,81%,1.43,AL
Bibb,,271,84%,0.98,AL
Blount,,689,93%,-0.85,AL
Bullock,(Click for info),121,70%,3,AL
Butler,,239,82%,1.39,AL
Calhoun,,"1,402",92%,-0.64,AL
Chambers,,327,86%,0.52,AL
Cherokee,,314,95%,-1.12,AL
Chilton,,602,88%,0.15,AL
Choctaw,,117,79%,1.95,AL
Clarke,,385,91%,-0.36,AL
Clay,,157,90%,-0.16,AL
Cleburne,,203,98%,-1.71,AL
Coffee,,735,93%,-0.67,AL
Colbert,,585,92%,-0.59,AL
Conecuh,,107,80%,1.62,AL
Coosa,,81,83%,1.18,AL
Covington,,412,95%,-1.12,AL
Crenshaw,,174,89%,-0.02,AL
Cullman,,981,91%,-0.29,AL
Dale,,506,90%,-0.25,AL
Dallas,,507,86%,0.53,AL
DeKalb,,813,93%,-0.71,AL
Elmore,,903,86%,0.53,AL
Escambia,,385,88%,0.23,AL
Etowah,,"1,213",90%,-0.24,AL
Fayette,,183,92%,-0.53,AL
Franklin,,380,92%,-0.59,AL
Geneva,,278,90%,-0.25,AL
Greene,,89,78%,2.16,AL
Hale,,195,91%,-0.43,AL
Henry,,191,98%,-1.68,AL
Houston,,"1,090",91%,-0.36,AL
Jackson,,597,90%,-0.21,AL
Jefferson,,"7,953",89%,0.05,AL
Lamar,,140,94%,-1,AL
Lauderdale,,"1,033",94%,-1.02,AL
Lawrence,,360,88%,0.18,AL
Lee,,"1,671",91%,-0.41,AL
Limestone,,"1,076",92%,-0.57,AL
Lowndes,,115,91%,-0.44,AL
Macon,,205,80%,1.69,AL
Madison,,"3,982",93%,-0.79,AL
Marengo,,297,91%,-0.36,AL
Marion,,368,90%,-0.23,AL
Marshall,,"1,258",92%,-0.62,AL
Mobile,,"4,647",84%,1,AL
Monroe,,259,88%,0.18,AL
Montgomery,,"2,164",82%,1.39,AL
Morgan,,"1,428",90%,-0.23,AL
Perry,,101,93%,-0.77,AL
Pickens,,220,98%,-1.73,AL
Pike,,291,87%,0.32,AL
Randolph,,293,92%,-0.53,AL
Russell,,658,88%,0.16,AL
Shelby,,"2,094",94%,-0.99,AL
St. Clair,,897,88%,0.11,AL
Sumter,,139,77%,2.26,AL
Talladega,,877,93%,-0.7,AL
Tallapoosa,,465,90%,-0.17,AL
Tuscaloosa,,"2,013",89%,0.09,AL
Walker,,809,90%,-0.26,AL
Washington,,232,93%,-0.7,AL
Wilcox,,143,83%,1.09,AL
Winston,,308,93%,-0.73,AL
Aleutians East,,17,82%,NR,AK
Aleutians West,,45,93%,-1.62,AK
Anchorage,,"3,468",80%,-0.4,AK
Bethel,,290,55%,1.96,AK
Bristol Bay,,36,83%,-0.69,AK
Denali,,51,45%,NR,AK
Dillingham,,88,65%,1.03,AK
Fairbanks North Star,,"1,106",70%,0.58,AK
Haines,,23,87%,-1.03,AK
Hoonah-Angoon,,22,73%,0.29,AK
Juneau,,370,77%,-0.13,AK
Kenai Peninsula,,739,82%,-0.55,AK
Ketchikan Gateway,,208,77%,-0.1,AK
Kodiak Island,,210,90%,-1.27,AK
Kusilvak,,165,60%,1.48,AK
Lake and Peninsula,,,,0,AK
Matanuska-Susitna,,"1,360",78%,-0.16,AK
Nome,,147,82%,-0.54,AK
North Slope,,93,70%,0.56,AK
Northwest Arctic,,111,75%,0.1,AK
Petersburg,,33,91%,-1.4,AK
Prince of Wales-Hyder,,103,71%,0.46,AK
Sitka,,189,82%,-0.57,AK
Skagway,,3,100%,NR,AK
Southeast Fairbanks,,71,62%,1.29,AK
Valdez-Cordova,,121,76%,-0.02,AK
Wrangell,,24,88%,-1.08,AK
Yakutat,,7,86%,NR,AK
Yukon-Koyukuk,,576,56%,1.81,AK
Apache,,867,74%,1.52,AZ
Cochise,,"1,378",84%,-0.3,AZ
Coconino,,"1,403",81%,0.23,AZ
Gila,,581,82%,0.01,AZ
Graham,,458,84%,-0.28,AZ
Greenlee,,115,92%,-1.76,AZ
La Paz,,182,82%,0.12,AZ
Maricopa,,"53,585",81%,0.34,AZ
Mohave,,"1,691",83%,-0.16,AZ
Navajo,,"1,376",81%,0.3,AZ
Pima,,"10,597",78%,0.89,AZ
Pinal,,"3,253",72%,1.97,AZ
Santa Cruz,,721,91%,-1.54,AZ
Yavapai,,"1,916",85%,-0.39,AZ
Yuma,,"2,747",88%,-0.96,AZ
Arkansas,,237,82%,1.61,AR
Ashley,,276,90%,-0.16,AR
Baxter,,354,86%,0.81,AR
Benton,,"3,025",90%,-0.21,AR
Boone,,486,93%,-0.68,AR
Bradley,,122,90%,-0.14,AR
Calhoun,,48,92%,-0.48,AR
Carroll,,316,82%,1.61,AR
Chicot,,119,87%,0.66,AR
Clark,,191,84%,1.16,AR
Clay,,159,93%,-0.79,AR
Cleburne,,264,92%,-0.56,AR
Cleveland,,115,96%,-1.37,AR
Columbia,,246,91%,-0.25,AR
Conway,,221,86%,0.89,AR
Craighead,,"1,188",93%,-0.68,AR
Crawford,,859,90%,-0.18,AR
Crittenden,,751,89%,0.1,AR
Cross,,253,92%,-0.57,AR
Dallas,,69,87%,0.57,AR
Desha,,223,87%,0.56,AR
