Value,"County, State"
0.9,"Autauga, AL"
0.86,"Baldwin, AL"
0.81,"Barbour, AL"
0.84,"Bibb, AL"
0.93,"Blount, AL"
0.7,"Bullock, AL"
0.82,"Butler, AL"
0.92,"Calhoun, AL"
0.86,"Chambers, AL"
0.95,"Cherokee, AL"
0.88,"Chilton, AL"
0.79,"Choctaw, AL"
0.91,"Clarke, AL"
0.9,"Clay, AL"
0.98,"Cleburne, AL"
0.93,"Coffee, AL"
0.92,"Colbert, AL"
0.8,"Conecuh, AL"
0.83,"Coosa, AL"
0.95,"Covington, AL"
0.89,"Crenshaw, AL"
0.91,"Cullman, AL"
0.9,"Dale, AL"
0.86,"Dallas, AL"
0.93,"DeKalb, AL"
0.86,"Elmore, AL"
0.88,"Escambia, AL"
0.9,"Etowah, AL"
0.92,"Fayette, AL"
0.92,"Franklin, AL"
0.9,"Geneva, AL"
0.78,"Greene, AL"
0.91,"Hale, AL"
0.98,"Henry, AL"
0.91,"Houston, AL"
0.9,"Jackson, AL"
0.89,"Jefferson, AL"
0.94,"Lamar, AL"
0.94,"Lauderdale, AL"
0.88,"Lawrence, AL"
0.91,"Lee, AL"
0.92,"Limestone, AL"
0.91,"Lowndes, AL"
0.8,"Macon, AL"
0.93,"Madison, AL"
0.91,"Marengo, AL"
0.9,"Marion, AL"
0.92,"Marshall, AL"
0.84,"Mobile, AL"
0.88,"Monroe, AL"
0.82,"Montgomery, AL"
0.9,"Morgan, AL"
0.93,"Perry, AL"
0.98,"Pickens, AL"
0.87,"Pike, AL"
0.92,"Randolph, AL"
0.88,"Russell, AL"
0.94,"Shelby, AL"
0.88,"St. Clair, AL"
0.77,"Sumter, AL"
0.93,"Talladega, AL"
0.9,"Tallapoosa, AL"
0.89,"Tuscaloosa, AL"
0.9,"Walker, AL"
0.93,"Washington, AL"
0.83,"Wilcox, AL"
0.93,"Winston, AL"
0.82,"Aleutians East, AK"
0.93,"Aleutians West, AK"
0.8,"Anchorage, AK"
0.55,"Bethel, AK"
0.83,"Bristol Bay, AK"
0.45,"Denali, AK"
0.65,"Dillingham, AK"
0.7,"Fairbanks North Star, AK"
0.87,"Haines, AK"
0.73,"Hoonah-Angoon, AK"
0.77,"Juneau, AK"
0.82,"Kenai Peninsula, AK"
0.77,"Ketchikan Gateway, AK"
0.9,"Kodiak Island, AK"
0.6,"Kusilvak, AK"
,"Lake and Peninsula, AK"
0.78,"Matanuska-Susitna, AK"
0.82,"Nome, AK"
0.7,"North Slope, AK"
0.75,"Northwest Arctic, AK"
0.91,"Petersburg, AK"
0.71,"Prince of Wales-Hyder, AK"
0.82,"Sitka, AK"
1.0,"Skagway, AK"
0.62,"Southeast Fairbanks, AK"
0.76,"Valdez-Cordova, AK"
0.88,"Wrangell, AK"
0.86,"Yakutat, AK"
0.56,"Yukon-Koyukuk, AK"
0.74,"Apache, AZ"
0.84,"Cochise, AZ"
0.81,"Coconino, AZ"
0.82,"Gila, AZ"
0.84,"Graham, AZ"
0.92,"Greenlee, AZ"
0.82,"La Paz, AZ"
0.81,"Maricopa, AZ"
0.83,"Mohave, AZ"
0.81,"Navajo, AZ"
0.78,"Pima, AZ"
0.72,"Pinal, AZ"
0.91,"Santa Cruz, AZ"
0.85,"Yavapai, AZ"
0.88,"Yuma, AZ"
0.82,"Arkansas, AR"
0.9,"Ashley, AR"
0.86,"Baxter, AR"
0.9,"Benton, AR"
0.93,"Boone, AR"
0.9,"Bradley, AR"
0.92,"Calhoun, AR"
0.82,"Carroll, AR"
0.87,"Chicot, AR"
0.84,"Clark, AR"
0.93,"Clay, AR"
0.92,"Cleburne, AR"
0.96,"Cleveland, AR"
0.91,"Columbia, AR"
0.86,"Conway, AR"
0.93,"Craighead, AR"
0.9,"Crawford, AR"
0.89,"Crittenden, AR"
0.92,"Cross, AR"
0.87,"Dallas, AR"
0.87,"Desha, AR"
0.88,"Drew, AR"
0.93,"Faulkner, AR"
0.97,"Franklin, AR"
0.98,"Fulton, AR"
0.85,"Garland, AR"
0.89,"Grant, AR"
0.96,"Greene, AR"
0.82,"Hempstead, AR"
0.92,"Hot Spring, AR"
0.97,"Howard, AR"
0.88,"Independence, AR"
0.97,"Izard, AR"
0.89,"Jackson, AR"
0.81,"Jefferson, AR"
0.91,"Johnson, AR"
0.93,"Lafayette, AR"
0.89,"Lawrence, AR"
0.8,"Lee, AR"
0.95,"Lincoln, AR"
0.85,"Little River, AR"
0.92,"Logan, AR"
0.91,"Lonoke, AR"
0.88,"Madison, AR"
0.92,"Marion, AR"
0.87,"Miller, AR"
0.87,"Mississippi, AR"
0.9,"Monroe, AR"
0.93,"Montgomery, AR"
0.93,"Nevada, AR"
0.8,"Newton, AR"
0.91,"Ouachita, AR"
0.91,"Perry, AR"
0.86,"Phillips, AR"
0.87,"Pike, AR"
0.82,"Poinsett, AR"
0.9,"Polk, AR"
0.91,"Pope, AR"
0.88,"Prairie, AR"
0.8,"Pulaski, AR"
0.93,"Randolph, AR"
0.93,"Saline, AR"
0.86,"Scott, AR"
0.97,"Searcy, AR"
0.88,"Sebastian, AR"
0.92,"Sevier, AR"
0.98,"Sharp, AR"
0.81,"St. Francis, AR"
0.95,"Stone, AR"
0.88,"Union, AR"
0.93,"Van Buren, AR"
0.87,"Washington, AR"
0.86,"White, AR"
0.9,"Woodruff, AR"
0.87,"Yell, AR"
0.87,"Alameda, CA"
,"Alpine, CA"
0.88,"Amador, CA"
0.85,"Butte, CA"
0.9,"Calaveras, CA"
0.89,"Colusa, CA"
0.88,"Contra Costa, CA"
0.81,"Del Norte, CA"
0.89,"El Dorado, CA"
0.81,"Fresno, CA"
0.82,"Glenn, CA"
