Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,Phone Number,Number of Completed Surveys,Start Date,End Date,Location,Nurse Communication,Doctor Communication,Staff Responsiveness,Communication About Medicines,Discharge Information,Care Transition,Cleanliness,Quietness,Overall Hospital Rating,Recommend Hospital,Payment for heart attack patients,Payment for heart failure patients,Payment for pneumonia patients,Payment for hip/knee replacement patients,Value of care for heart attack patients,Value of care for heart failure patients,Value of care for pneumonia patients,Value of care for hip/knee replacement patients
10001.0,Southeast Alabama Medical Center,1108 ROSS CLARK CIRCLE,Dothan,AL,36301,Houston,(334) 793-8701,558,01/01/2018,12/31/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)",88.0,90.0,79.0,73.0,86.0,80.0,87.0,86.0,85.0,87.0,No Different Than the National Average Payment,No Different Than the National Average Payment,Greater Than the National Average Payment,Greater Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Mortality and Higher Payment,Average Complications and Higher Payment
10005.0,Marshall Medical Center South,2505 U S HIGHWAY 431 NORTH,Boaz,AL,35957,Marshall,(256) 593-8310,1119,01/01/2018,12/31/2018,"2505 U S HIGHWAY 431 NORTH BOAZ, AL 35957",92.0,94.0,85.0,82.0,88.0,81.0,87.0,84.0,89.0,88.0,No Different Than the National Average Payment,No Different Than the National Average Payment,Less Than the National Average Payment,No Different Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Worse Mortality and Lower Payment,Average Complications and Average Payment
10006.0,North Alabama Medical Center,1701 VETERANS DRIVE,Florence,AL,35630,Lauderdale,(256) 768-8400,563,01/01/2018,12/31/2018,"1701 VETERANS DRIVE FLORENCE, AL 35630 (34.802756, -87.652191)",88.0,91.0,81.0,73.0,82.0,79.0,78.0,83.0,83.0,84.0,No Different Than the National Average Payment,No Different Than the National Average Payment,No Different Than the National Average Payment,Greater Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Complications and Higher Payment
10007.0,Mizell Memorial Hospital,702 N MAIN ST,Opp,AL,36467,Covington,(334) 493-3541,166,01/01/2018,12/31/2018,"702 N MAIN ST OPP, AL 36467 (31.291972, -86.255415)",90.0,95.0,84.0,77.0,85.0,80.0,89.0,84.0,87.0,87.0,Number of Cases Too Small,Less Than the National Average Payment,Less Than the National Average Payment,No Different Than the National Average Payment,Not Available,Average Mortality and Lower Payment,Worse Mortality and Lower Payment,Average Complications and Average Payment
10008.0,Crenshaw Community Hospital,101 HOSPITAL CIRCLE,Luverne,AL,36049,Crenshaw,(334) 335-3374,60,01/01/2018,12/31/2018,"101 HOSPITAL CIRCLE LUVERNE, AL 36049 (31.692595, -86.266156)",,,,,,,,,,,Number of Cases Too Small,Less Than the National Average Payment,Less Than the National Average Payment,Not Available,Not Available,Average Mortality and Lower Payment,Average Mortality and Lower Payment,Not Available
10011.0,St Vincent'S East,50 MEDICAL PARK EAST DRIVE,Birmingham,AL,35235,Jefferson,(205) 838-3122,2291,01/01/2018,12/31/2018,"50 MEDICAL PARK EAST DRIVE BIRMINGHAM, AL 35235 (33.595351, -86.665182)",89.0,91.0,84.0,76.0,85.0,81.0,85.0,82.0,87.0,87.0,No Different Than the National Average Payment,No Different Than the National Average Payment,No Different Than the National Average Payment,Greater Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Complications and Higher Payment
10012.0,Dekalb Regional Medical Center,200 MED CENTER DRIVE,Fort Payne,AL,35968,De Kalb,(256) 845-3150,457,01/01/2018,12/31/2018,"200 MED CENTER DRIVE FORT PAYNE, AL 35968",89.0,90.0,83.0,72.0,85.0,78.0,86.0,81.0,85.0,81.0,No Different Than the National Average Payment,No Different Than the National Average Payment,No Different Than the National Average Payment,Not Available,Average Mortality and Average Payment,Average Mortality and Average Payment,Worse Mortality and Average Payment,Not Available
10016.0,Shelby Baptist Medical Center,1000 FIRST STREET NORTH,Alabaster,AL,35007,Shelby,(205) 620-8100,1046,01/01/2018,12/31/2018,"1000 FIRST STREET NORTH ALABASTER, AL 35007 (33.253679, -86.814261)",90.0,91.0,85.0,79.0,87.0,81.0,85.0,84.0,87.0,88.0,No Different Than the National Average Payment,Greater Than the National Average Payment,Greater Than the National Average Payment,No Different Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Higher Payment,Average Mortality and Higher Payment,Average Complications and Average Payment
10018.0,Uab Callahan Eye Hospital Authority,"1720 UNIVERSITY BLVD, SUITE 500",Birmingham,AL,35233,Jefferson,(205) 325-8100,39,01/01/2018,12/31/2018,"1720 UNIVERSITY BLVD, SUITE 500 BIRMINGHAM, AL 35233 (33.503137, -86.802401)",,,,,,,,,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
10019.0,Helen Keller Memorial Hospital,1300 SOUTH MONTGOMERY AVENUE,Sheffield,AL,35660,Colbert,(256) 386-4556,459,01/01/2018,12/31/2018,"1300 SOUTH MONTGOMERY AVENUE SHEFFIELD, AL 35660 (34.748249, -87.698866)",91.0,92.0,82.0,76.0,85.0,80.0,84.0,87.0,87.0,89.0,No Different Than the National Average Payment,No Different Than the National Average Payment,No Different Than the National Average Payment,Greater Than the National Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Mortality and Average Payment,Average Complications and Higher Payment
