RegionName,State,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
Valdez Cordova ,AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170000.0,177900.0,170000.0,176450.0,160000.0,149500.0,150000.0,172500.0,168036.0,174317.0,189000.0,184500.0
Sitka ,AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450000.0,439000.0,429000.0,425000.0,399000.0,399000.0,389000.0,349000.0,390000.0,399000.0,390000.0,385500.0,390000.0,389000.0,379000.0,389900.0,404500.0,389000.0,382000.0,369000.0,359750.0,357250.0,392000.0,409500.0,422500.0,447500.0,435000.0,444500.0,425000.0,422500.0,417000.0,422500.0,439000.0,429000.0,419500.0,409000.0,425000.0,425000.0,425000.0,422000.0,422000.0,425000.0,454400.0,449500.0,425000.0,399000.0,429000.0,424950.0,419450.0,424950.0,427000.0,454000.0,439000.0,439000.0,427000.0,425000.0,431000.0,422000.0,447000.0,454000.0,484500.0,454500.0,489000.0,484500.0,454750.0,469000.0,466750.0,437950.0,439000.0,439000.0,427950.0,429000.0,439750.0,442500.0,442500.0,415000.0,427500.0,454500.0,430000.0,479000.0,475000.0,457000.0,424500.0,428500.0,419000.0,400000.0,399000.0,397000.0
Matanuska Susitna ,AK,239900.0,237500.0,238450.0,238000.0,239900.0,239900.0,238450.0,237500.0,237500.0,230000.0,229500.0,225000.0,224900.0,225000.0,225000.0,224900.0,229900.0,229900.0,229700.0,225500.0,226505.0,224921.0,223000.0,219900.0,225000.0,224925.0,225000.0,225000.0,224900.0,220000.0,219900.0,219900.0,220850.0,218000.0,216000.0,217500.0,217000.0,219900.0,223900.0,225000.0,229000.0,225000.0,225000.0,226900.0,224000.0,224500.0,224000.0,219900.0,219900.0,224900.0,227200.0,229000.0,229900.0,232700.0,229900.0,229975.0,229000.0,230000.0,225000.0,225550.0,234900.0,238000.0,241000.0,244950.0,239000.0,239900.0,245000.0,246700.0,249500.0,249900.0,249700.0,245000.0,249900.0,250407.5,255000.0,255342.5,254000.0,257000.0,250000.0,249900.0,249900.0,249500.0,249900.0,245000.0,245000.0,240000.0,249300.0,250000.0,259000.0,259900.0,259950.0,261600.0,259000.0,259000.0,255000.0,254900.0,253950.0,259871.0,259900.0,269250.0,269900.0,269900.0,269000.0,264900.0,267400.0,267825.0,265000.0,265000.0,265450.0,270000.0,276500.0,279950.0,279900.0,279900.0,279900.0,279000.0,276450.0
Ketchikan Gateway ,AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279000.0,321000.0,299500.0,285000.0,285000.0,283500.0,284000.0,279000.0,270000.0,279000.0,279900.0,289900.0,320000.0,315000.0,322500.0,300000.0,287000.0,285000.0,280000.0,287250.0,285000.0,309000.0,310000.0,329000.0,325000.0,319250.0,297250.0,289000.0
Anchorage ,AK,265000.0,267900.0,269700.0,273000.0,280000.0,282250.0,274900.0,275000.0,275000.0,274000.0,269900.0,264900.0,259900.0,261000.0,266000.0,274900.0,279000.0,277700.0,278800.0,278800.0,276900.0,269900.0,265000.0,269500.0,260000.0,259500.0,259900.0,274000.0,275900.0,275000.0,279000.0,274900.0,266900.0,265825.0,269000.0,268150.0,274900.0,279900.0,280250.0,285000.0,289000.0,284200.0,285450.0,285000.0,285000.0,289000.0,285000.0,289000.0,285900.0,294250.0,295000.0,300000.0,303450.0,299900.0,295000.0,299900.0,294500.0,288000.0,289000.0,289000.0,295000.0,299000.0,309250.0,313500.0,315000.0,314900.0,315000.0,314950.0,318000.0,314325.0,319000.0,313750.0,314900.0,319000.0,319250.0,324900.0,324500.0,325000.0,322750.0,318000.0,315000.0,314900.0,315000.0,309900.0,304900.0,305000.0,309700.0,315000.0,315000.0,314950.0,315000.0,310000.0,309900.0,305000.0,300000.0,299500.0,299500.0,302000.0,310000.0,319000.0,320000.0,319900.0,319900.0,319638.5,314777.0,310000.0,310000.0,309900.0,310000.0,314000.0,318000.0,329000.0,335000.0,330000.0,325000.0,325000.0,318000.0
Kodiak Island ,AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359950.0,349250.0,335000.0,345000.0,345000.0,328000.0,318000.0,299000.0,315000.0,324000.0,335000.0,337500.0,331250.0,329000.0,337500.0,340000.0,345000.0,345000.0,350000.0,350000.0,345000.0,325000.0,320000.0,324500.0,322250.0,322000.0,324500.0,326000.0,325000.0,325000.0,324750.0,325000.0,299500.0,315000.0,315000.0,319950.0,330000.0,325000.0,325000.0,325000.0,319000.0,297450.0,289500.0,265000.0,289250.0,339000.0,339500.0,339500.0,335000.0,335000.0,335000.0,325000.0,332500.0,339000.0,335500.0,332500.0,349000.0,356500.0,356500.0,358000.0,359500.0,359500.0,349000.0,330000.0,329500.0,330000.0,325000.0,325000.0,330000.0,336950.0,338950.0,338950.0,334450.0,349000.0,349750.0,347250.0,337000.0
Juneau ,AK,262000.0,269900.0,270900.0,274000.0,277250.0,279900.0,272000.0,279900.0,279900.0,279900.0,279900.0,279000.0,279000.0,247450.0,271900.0,289000.0,304500.0,293000.0,289000.0,286750.0,285000.0,289900.0,289900.0,289900.0,295000.0,312900.0,312400.0,311950.0,299900.0,309950.0,297000.0,297000.0,286250.0,282950.0,275000.0,277250.0,275000.0,287500.0,301900.0,310000.0,317450.0,334000.0,340000.0,334499.5,323000.0,320000.0,317999.5,323950.0,315000.0,320999.0,323950.0,315000.0,322500.0,320000.0,329000.0,299000.0,299950.0,302500.0,329900.0,319950.0,310000.0,324500.0,305000.0,350000.0,337000.0,341500.0,345000.0,330000.0,340000.0,329450.0,329000.0,330000.0,335000.0,330000.0,325000.0,329949.5,339000.0,335000.0,342000.0,330000.0,329000.0,329000.0,322500.0,315000.0,314950.0,323950.0,335000.0,350000.0,349000.0,359900.0,349000.0,359450.0,365000.0,358000.0,350000.0,349000.0,345000.0,339000.0,349450.0,347000.0,350000.0,349000.0,350000.0,349900.0,349900.0,350000.0,357000.0,359900.0,369500.0,369000.0,375000.0,377000.0,377200.0,369900.0,382000.0,380000.0,384900.0
Fairbanks North Star ,AK,216000.0,220000.0,210900.0,225000.0,232900.0,234000.0,234900.0,235000.0,230000.0,230000.0,220000.0,222700.0,225000.0,222450.0,229900.0,229900.0,224950.0,227900.0,229900.0,225000.0,220000.0,219900.0,216000.0,219900.0,216500.0,219900.0,219900.0,219925.0,229000.0,229900.0,229000.0,225000.0,224900.0,221450.0,219000.0,219900.0,222900.0,219900.0,224900.0,224900.0,224900.0,222500.0,222700.0,219900.0,210000.0,214900.0,207500.0,199900.0,194900.0,199900.0,204900.0,214900.0,215000.0,215000.0,215000.0,214900.0,209900.0,199250.0,189999.5,189999.5,198000.0,202500.0,219900.0,220000.0,220000.0,219900.0,214900.0,207900.0,207000.0,199500.0,199000.0,195950.0,199900.0,199999.0,223450.0,224900.0,228500.0,229000.0,224900.0,224900.0,222000.0,218925.0,219000.0,214900.0,211900.0,214900.0,213900.0,219700.0,218900.0,212000.0,215000.0,218000.0,218900.0,213700.0,198000.0,199750.0,202249.5,209950.0,215000.0,234950.0,227000.0,229900.0,235950.0,239900.0,240000.0,229900.0,220000.0,229900.0,224000.0,224949.5,224900.0,224900.0,225000.0,234900.0,239000.0,235000.0,229900.0
Kenai Peninsula ,AK,247750.0,249900.0,259950.0,259900.0,259900.0,259000.0,250000.0,250000.0,250000.0,249900.0,240000.0,240000.0,239250.0,239000.0,239000.0,235000.0,239500.0,239000.0,239500.0,236000.0,239900.0,239900.0,230000.0,228500.0,237500.0,235000.0,229844.0,237000.0,235000.0,235000.0,230000.0,225000.0,220000.0,219900.0,224250.0,220000.0,220000.0,224700.0,225000.0,225000.0,225000.0,229000.0,229000.0,229000.0,230000.0,229500.0,225000.0,225000.0,225000.0,232000.0,234000.0,235000.0,229900.0,235000.0,235000.0,229000.0,229000.0,229000.0,225000.0,225000.0,216000.0,218000.0,219000.0,225000.0,229500.0,235000.0,240000.0,239500.0,239000.0,239000.0,235000.0,229700.0,226000.0,226000.0,229000.0,229900.0,229900.0,234700.0,229900.0,229250.0,229900.0,229000.0,229900.0,235000.0,225000.0,223500.0,225000.0,239900.0,247500.0,249000.0,249000.0,249500.0,249700.0,248700.0,240000.0,235000.0,235000.0,233500.0,239000.0,249000.0,249835.0,250000.0,250000.0,249900.0,249900.0,249900.0,250000.0,249500.0,246450.0,249000.0,250000.0,259000.0,259000.0,259900.0,254000.0,255000.0,259000.0
Clarke ,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169900.0,154900.0,135000.0,139000.0,139500.0,140000.0,144500.0,154000.0,159450.0,159900.0,172000.0,179900.0,169000.0,157900.0,159900.0,159900.0,156750.0,149900.0,160000.0,169000.0,169000.0,169900.0,172450.0,184950.0,179000.0,184900.0,162900.0,155000.0,159000.0,159450.0,145500.0,141000.0,139000.0,139000.0,139000.0,139000.0,150000.0,159000.0,159000.0,154600.0,149900.0,139500.0,145500.0,163500.0,159000.0,159000.0,167750.0,158000.0,159000.0,158750.0,159000.0
