Value,"County, State"
184500.0,"Valdez Cordova, AK"
397000.0,"Sitka, AK"
276450.0,"Matanuska Susitna, AK"
289000.0,"Ketchikan Gateway, AK"
318000.0,"Anchorage, AK"
337000.0,"Kodiak Island, AK"
384900.0,"Juneau, AK"
229900.0,"Fairbanks North Star, AK"
259000.0,"Kenai Peninsula, AK"
159000.0,"Clarke, AL"
188700.0,"Bibb, AL"
173000.0,"Coffee, AL"
147000.0,"Covington, AL"
170000.0,"De Kalb, AL"
134900.0,"Escambia, AL"
117684.0,"Monroe, AL"
310000.0,"Baldwin, AL"
169500.0,"Barbour, AL"
152950.0,"Walker, AL"
149900.0,"Hale, AL"
299949.5,"Tallapoosa, AL"
299900.0,"Winston, AL"
183999.0,"Montgomery, AL"
170450.0,"Chilton, AL"
185000.0,"Blount, AL"
137500.0,"Crenshaw, AL"
139900.0,"Russell, AL"
99000.0,"Dallas, AL"
175000.0,"Jackson, AL"
219000.0,"Cherokee, AL"
224900.0,"Autauga, AL"
314900.0,"Shelby, AL"
221800.0,"Jefferson, AL"
170000.0,"Colbert, AL"
214900.0,"Tuscaloosa, AL"
248700.0,"Randolph, AL"
150000.0,"Wilcox, AL"
129900.0,"Dale, AL"
210500.0,"Marshall, AL"
196450.0,"Henry, AL"
169700.0,"Marengo, AL"
182237.5,"Lauderdale, AL"
127690.0,"Lowndes, AL"
149900.0,"Franklin, AL"
149900.0,"Marion, AL"
250000.0,"Madison, AL"
179900.0,"Houston, AL"
194045.0,"Morgan, AL"
152479.0,"Etowah, AL"
132900.0,"Calhoun, AL"
109900.0,"Butler, AL"
169179.0,"Mobile, AL"
279000.0,"Lee, AL"
139900.0,"Lawrence, AL"
227900.0,"Elmore, AL"
179900.0,"Cullman, AL"
119900.0,"Fayette, AL"
158500.0,"Pike, AL"
258000.0,"Limestone, AL"
219900.0,"Saint Clair, AL"
167811.5,"Talladega, AL"
224200.0,"Cleburne, AR"
185000.0,"Pulaski, AR"
60450.0,"Jackson, AR"
139900.0,"Johnson, AR"
97450.0,"Ouachita, AR"
109900.0,"Randolph, AR"
83500.0,"Lawrence, AR"
169750.0,"Grant, AR"
152000.0,"Drew, AR"
242500.0,"Washington, AR"
174900.0,"Marion, AR"
169900.0,"Independence, AR"
150000.0,"Boone, AR"
82500.0,"Clay, AR"
98000.0,"Sharp, AR"
234900.0,"Carroll, AR"
99900.0,"Mississippi, AR"
205000.0,"Faulkner, AR"
190000.0,"Madison, AR"
164900.0,"Baxter, AR"
144750.0,"Greene, AR"
115000.0,"Van Buren, AR"
270805.0,"Benton, AR"
169000.0,"Hot Spring, AR"
89000.0,"Saint Francis, AR"
169900.0,"Miller, AR"
129838.5,"Cross, AR"
159900.0,"Pope, AR"
135000.0,"Little River, AR"
224900.0,"Garland, AR"
129000.0,"Conway, AR"
138500.0,"Hempstead, AR"
154450.0,"Crawford, AR"
149900.0,"Polk, AR"
179000.0,"Stone, AR"
162500.0,"Fulton, AR"
162450.0,"Lonoke, AR"
128500.0,"Ashley, AR"
130000.0,"Crittenden, AR"
139900.0,"Clark, AR"
113500.0,"Logan, AR"
144000.0,"White, AR"
94000.0,"Jefferson, AR"
144250.0,"Newton, AR"
155000.0,"Sebastian, AR"
150000.0,"Pike, AR"
179000.0,"Craighead, AR"
165000.0,"Columbia, AR"
139450.0,"Izard, AR"
210950.0,"Montgomery, AR"
206983.0,"Saline, AR"
119900.0,"Searcy, AR"
245000.0,"Pima, AZ"
259900.0,"Navajo, AZ"
192450.0,"Graham, AZ"
259900.0,"Apache, AZ"
412000.0,"Coconino, AZ"
239495.0,"Pinal, AZ"
319000.0,"Maricopa, AZ"
174900.0,"La Paz, AZ"
180000.0,"Cochise, AZ"
213000.0,"Yuma, AZ"
259900.0,"Santa Cruz, AZ"
271900.0,"Mohave, AZ"
394000.0,"Yavapai, AZ"
299250.0,"Gila, AZ"
520000.0,"Mendocino, CA"
500000.0,"Nevada, CA"
370000.0,"Humboldt, CA"
825000.0,"Napa, CA"
465000.0,"Solano, CA"
329900.0,"Sutter, CA"
548000.0,"Placer, CA"
172500.0,"Modoc, CA"
499000.0,"Mono, CA"
314999.0,"Yuba, CA"
525000.0,"El Dorado, CA"
315000.0,"Shasta, CA"
849000.0,"Monterey, CA"
249900.0,"Imperial, CA"
299000.0,"Trinity, CA"
612900.0,"San Benito, CA"
499000.0,"Yolo, CA"
374250.0,"Calaveras, CA"
269000.0,"Siskiyou, CA"
320000.0,"Tuolumne, CA"
345000.0,"Butte, CA"
269900.0,"Tehama, CA"
288000.0,"Lake, CA"
1275000.0,"Marin, CA"
270000.0,"Kings, CA"
309999.5,"Merced, CA"
330000.0,"Madera, CA"
369450.0,"Amador, CA"
690000.0,"San Luis Obispo, CA"
220000.0,"Lassen, CA"
885000.0,"Santa Cruz, CA"
689000.0,"Los Angeles, CA"
620000.0,"Contra Costa, CA"
299000.0,"Glenn, CA"
827880.0,"Alameda, CA"
389900.0,"Sacramento, CA"
379000.0,"Inyo, CA"
255000.0,"Kern, CA"
699000.0,"Sonoma, CA"
350000.0,"San Bernardino, CA"
649900.0,"Ventura, CA"
414990.0,"Riverside, CA"
399990.0,"San Joaquin, CA"
1099956.0,"Santa Clara, CA"
269900.0,"Tulare, CA"
349500.0,"Stanislaus, CA"
344900.0,"Colusa, CA"
299950.0,"Del Norte, CA"
1349000.0,"San Francisco, CA"
655900.0,"San Diego, CA"
369000.0,"Plumas, CA"
335000.0,"Mariposa, CA"
309590.0,"Fresno, CA"
798000.0,"Orange, CA"
1388000.0,"San Mateo, CA"
999000.0,"Santa Barbara, CA"
425000.0,"Alpine, CA"
365000.0,"Teller, CO"
285000.0,"Morgan, CO"
355000.0,"Montrose, CO"
221000.0,"Pueblo, CO"
522500.0,"Douglas, CO"
287000.0,"Huerfano, CO"
549000.0,"Grand, CO"
367900.0,"El Paso, CO"
1900000.0,"San Miguel, CO"
585000.0,"Boulder, CO"
319000.0,"Lake, CO"
495000.0,"Hinsdale, CO"
465000.0,"Jefferson, CO"
645000.0,"Summit, CO"
399000.0,"Park, CO"
366990.0,"Weld, CO"
419900.0,"Mineral, CO"
479000.0,"Denver, CO"
442500.0,"Archuleta, CO"
549985.0,"Elbert, CO"
199900.0,"Las Animas, CO"
399000.0,"Arapahoe, CO"
623500.0,"Gunnison, CO"
219000.0,"Alamosa, CO"
325000.0,"Rio Grande, CO"
228950.0,"Rio Blanco, CO"
279000.0,"Fremont, CO"
400000.0,"Larimer, CO"
397904.0,"Clear Creek, CO"
159500.0,"Costilla, CO"
199900.0,"Moffat, CO"
479000.0,"Gilpin, CO"
474900.0,"Chaffee, CO"
699000.0,"Routt, CO"
339500.0,"Delta, CO"
375000.0,"Adams, CO"
1240000.0,"Eagle, CO"
505000.0,"La Plata, CO"
489900.0,"Broomfield, CO"
475000.0,"Garfield, CO"
2895000.0,"Pitkin, CO"
599000.0,"Ouray, CO"
285000.0,"Saguache, CO"
343950.0,"Montezuma, CO"
414000.0,"Custer, CO"
299900.0,"Mesa, CO"
259900.0,"New Haven, CT"
239450.0,"Windham, CT"
247450.0,"Hartford, CT"
305000.0,"Litchfield, CT"
572214.0,"Fairfield, CT"
315000.0,"Middlesex, CT"
268500.0,"New London, CT"
264450.0,"Tolland, CT"
599900.0,"District of Columbia, DC"
261704.5,"New Castle, DE"
354900.0,"Sussex, DE"
260000.0,"Kent, DE"
172900.0,"Calhoun, FL"
224000.0,"Duval, FL"
733000.0,"Monroe, FL"
179450.0,"Suwannee, FL"
273240.0,"Lee, FL"
211400.5,"Baker, FL"
160000.0,"Holmes, FL"
202449.5,"Washington, FL"
359000.0,"Saint Johns, FL"
155000.0,"Gadsden, FL"
257500.0,"Brevard, FL"
198144.0,"Columbia, FL"
253200.0,"Charlotte, FL"
236990.0,"Clay, FL"
155000.0,"Madison, FL"
224990.0,"Polk, FL"
319000.0,"Okaloosa, FL"
260275.0,"Santa Rosa, FL"
282900.0,"Bay, FL"
139900.0,"Jackson, FL"
169000.0,"Glades, FL"
316490.0,"Nassau, FL"
294000.0,"Pinellas, FL"
305947.5,"Seminole, FL"
369500.0,"Martin, FL"
349900.0,"Palm Beach, FL"
222500.0,"Leon, FL"
249900.0,"Saint Lucie, FL"
164950.0,"Dixie, FL"
264000.0,"Lake, FL"
169900.0,"Putnam, FL"
243450.0,"Escambia, FL"
248500.0,"Volusia, FL"
274000.0,"Sumter, FL"
279900.0,"Flagler, FL"
212000.0,"De Soto, FL"
215000.0,"Gilchrist, FL"
415000.0,"Collier, FL"
325000.0,"Manatee, FL"
195900.0,"Marion, FL"
243245.0,"Pasco, FL"
164900.0,"Highlands, FL"
199900.0,"Bradford, FL"
399000.0,"Miami-Dade, FL"
235800.0,"Wakulla, FL"
339000.0,"Sarasota, FL"
274900.0,"Hillsborough, FL"
199500.0,"Lafayette, FL"
310000.0,"Broward, FL"
272990.0,"Osceola, FL"
399000.0,"Franklin, FL"
239790.0,"Alachua, FL"
229000.0,"Levy, FL"
369950.0,"Gulf, FL"
599900.0,"Walton, FL"
