"County, State",Type,Value
"Autauga, AL",Temp,66.0
"Baldwin, AL",Temp,68.7
"Barbour, AL",Temp,66.8
"Bibb, AL",Temp,64.4
"Blount, AL",Temp,63.2
"Bullock, AL",Temp,66.3
"Butler, AL",Temp,66.8
"Calhoun, AL",Temp,63.4
"Chambers, AL",Temp,63.8
"Cherokee, AL",Temp,62.7
"Chilton, AL",Temp,64.4
"Choctaw, AL",Temp,66.4
"Clarke, AL",Temp,66.9
"Clay, AL",Temp,62.9
"Cleburne, AL",Temp,62.6
"Coffee, AL",Temp,67.5
"Colbert, AL",Temp,62.0
"Conecuh, AL",Temp,67.9
"Coosa, AL",Temp,64.1
"Covington, AL",Temp,67.7
"Crenshaw, AL",Temp,66.4
"Cullman, AL",Temp,62.7
"Dale, AL",Temp,67.8
"Dallas, AL",Temp,66.3
"DeKalb, AL",Temp,61.1
"Elmore, AL",Temp,65.8
"Escambia, AL",Temp,68.3
"Etowah, AL",Temp,63.2
"Fayette, AL",Temp,63.6
"Franklin, AL",Temp,61.8
"Geneva, AL",Temp,68.5
"Greene, AL",Temp,65.2
"Hale, AL",Temp,65.2
"Henry, AL",Temp,67.8
"Houston, AL",Temp,68.8
"Jackson, AL",Temp,61.1
"Jefferson, AL",Temp,64.2
"Lamar, AL",Temp,63.5
"Lauderdale, AL",Temp,61.6
"Lawrence, AL",Temp,61.5
"Lee, AL",Temp,65.2
"Limestone, AL",Temp,62.0
"Lowndes, AL",Temp,67.0
"Macon, AL",Temp,66.1
"Madison, AL",Temp,61.9
"Marengo, AL",Temp,66.0
"Marion, AL",Temp,62.2
"Marshall, AL",Temp,62.4
"Mobile, AL",Temp,68.7
"Monroe, AL",Temp,67.8
"Montgomery, AL",Temp,66.8
"Morgan, AL",Temp,62.3
"Perry, AL",Temp,65.2
"Pickens, AL",Temp,64.6
"Pike, AL",Temp,66.4
"Randolph, AL",Temp,63.0
"Russell, AL",Temp,66.3
"Shelby, AL",Temp,64.2
"St. Clair, AL",Temp,63.6
"Sumter, AL",Temp,65.7
"Talladega, AL",Temp,64.0
"Tallapoosa, AL",Temp,64.1
"Tuscaloosa, AL",Temp,64.7
"Walker, AL",Temp,63.5
"Washington, AL",Temp,67.1
"Wilcox, AL",Temp,66.8
"Winston, AL",Temp,61.7
"Aleutians East, AK",Temp,42.0
"Aleutians West Census Area, AK",Temp,41.5
"Anchorage Municipality, AK",Temp,36.4
"Bethel Census Area, AK",Temp,36.9
"Bristol Bay, AK",Temp,41.4
"Denali, AK",Temp,31.8
"Dillingham Census Area, AK",Temp,39.6
"Fairbanks North Star, AK",Temp,32.4
"Haines, AK",Temp,35.9
"Hoonah-Angoon Census Area, AK",Temp,38.9
"Juneau City and, AK",Temp,36.0
"Kenai Peninsula, AK",Temp,38.0
"Ketchikan Gateway, AK",Temp,41.8
"Kodiak Island, AK",Temp,42.3
"Kusilvak Census Area, AK",Temp,35.8
"Lake and Peninsula, AK",Temp,40.6
"Matanuska-Susitna, AK",Temp,33.6
"Nome Census Area, AK",Temp,31.7
"North Slope, AK",Temp,21.3
"Northwest Arctic, AK",Temp,29.6
"Petersburg, AK",Temp,38.0
"Prince of Wales-Hyder Census Area, AK",Temp,44.5
"Sitka City and, AK",Temp,42.3
"Skagway Municipality, AK",Temp,33.1
"Southeast Fairbanks Census Area, AK",Temp,29.3
"Valdez-Cordova Census Area, AK",Temp,31.2
"Wrangell City and, AK",Temp,41.4
"Yakutat City and, AK",Temp,36.4
"Yukon-Koyukuk Census Area, AK",Temp,30.9
"Apache, AZ",Temp,50.2
"Cochise, AZ",Temp,60.8
"Coconino, AZ",Temp,52.5
"Gila, AZ",Temp,59.7
"Graham, AZ",Temp,60.9
"Greenlee, AZ",Temp,56.5
"La Paz, AZ",Temp,71.2
"Maricopa, AZ",Temp,70.3
"Mohave, AZ",Temp,61.9
"Navajo, AZ",Temp,51.8
"Pima, AZ",Temp,67.3
"Pinal, AZ",Temp,68.4
"Santa Cruz, AZ",Temp,60.3
"Yavapai, AZ",Temp,59.2
"Yuma, AZ",Temp,72.1
"Arkansas, AR",Temp,63.2
"Ashley, AR",Temp,65.2
"Baxter, AR",Temp,57.8
"Benton, AR",Temp,57.9
"Boone, AR",Temp,57.2
"Bradley, AR",Temp,64.4
"Calhoun, AR",Temp,63.5
"Carroll, AR",Temp,57.2
"Chicot, AR",Temp,64.7
"Clark, AR",Temp,62.8
"Clay, AR",Temp,59.5
"Cleburne, AR",Temp,59.9
"Cleveland, AR",Temp,63.1
"Columbia, AR",Temp,63.6
"Conway, AR",Temp,60.9
"Craighead, AR",Temp,60.6
"Crawford, AR",Temp,59.9
"Crittenden, AR",Temp,62.4
"Cross, AR",Temp,61.7
"Dallas, AR",Temp,62.7
"Desha, AR",Temp,63.6
"Drew, AR",Temp,64.2
"Faulkner, AR",Temp,61.2
"Franklin, AR",Temp,59.6
"Fulton, AR",Temp,57.9
"Garland, AR",Temp,61.7
"Grant, AR",Temp,62.6
"Greene, AR",Temp,59.9
"Hempstead, AR",Temp,62.8
"Hot Spring, AR",Temp,62.4
"Howard, AR",Temp,61.9
"Independence, AR",Temp,59.6
"Izard, AR",Temp,58.1
"Jackson, AR",Temp,60.4
"Jefferson, AR",Temp,62.8
"Johnson, AR",Temp,59.1
"Lafayette, AR",Temp,63.9
"Lawrence, AR",Temp,59.6
"Lee, AR",Temp,62.8
"Lincoln, AR",Temp,63.4
